observed_at,source,match_id,kickoff,home,away,home_id,away_id
2026-08-18T2258Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-18T2258Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-18T2258Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-18T2258Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-18T2258Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-18T2303Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-18T2303Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-18T2303Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-18T2303Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-18T2303Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-18T2303Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-18T2303Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-18T2303Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-18T2303Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-18T2303Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-18T2303Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-18T2303Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-18T2303Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-18T2303Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-18T2303Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0013Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0013Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0013Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0013Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0013Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0013Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0013Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0013Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0013Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0013Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0013Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0013Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0013Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0013Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0013Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0016Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0016Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0016Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0016Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0016Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0016Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0016Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0016Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0016Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0016Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0016Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0016Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0016Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0016Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0016Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0019Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0019Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0019Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0019Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0019Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0019Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0019Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0019Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0019Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0019Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0019Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0019Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0019Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0019Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0019Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0027Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0027Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0027Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0027Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0027Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0027Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0027Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0027Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0027Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0027Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0027Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0027Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0027Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0027Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0027Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0029Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0029Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0029Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0029Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0029Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0029Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0029Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0029Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0029Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0029Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0029Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0029Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0029Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0029Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0029Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0911Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0911Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0911Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0911Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0911Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0911Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0911Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0911Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0911Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0911Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0911Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0911Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0911Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0911Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0911Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T0941Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T0941Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T0941Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T0941Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T0941Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T0941Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T0941Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T0941Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T0941Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T0941Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T0941Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T0941Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T0941Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T0941Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T0941Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1018Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1018Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1018Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1018Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1018Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1018Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1018Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1018Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1018Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1018Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1018Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1018Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1018Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1018Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1018Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1245Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1245Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1245Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1245Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1245Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1245Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1245Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1245Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1245Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1245Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1245Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1245Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1245Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1245Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1245Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1454Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1454Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1454Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1454Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1454Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1454Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1454Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1454Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1454Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1454Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1454Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1454Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1454Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1454Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1454Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1639Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1639Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1639Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1639Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1639Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1639Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1639Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1639Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1639Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1639Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1639Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1639Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1639Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1639Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1639Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1750Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1750Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1750Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1750Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1750Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1750Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1750Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1750Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1750Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1750Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1750Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1750Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1750Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1750Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1750Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1823Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1823Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1823Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1823Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1823Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1823Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1823Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1823Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1823Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1823Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
2026-08-19T1823Z,analitica,100011941,2026-08-23T15:00:00+00:00,Atletico Madrid,Villarreal,530,533
2026-08-19T1823Z,analitica,100011947,2026-08-23T17:30:00+00:00,Getafe,Racing Santander,546,4665
2026-08-19T1823Z,analitica,100011950,2026-08-23T19:30:00+00:00,Elche,Barcelona,797,529
2026-08-19T1823Z,analitica,100011948,2026-08-24T17:30:00+00:00,Osasuna,Levante,727,539
2026-08-19T1823Z,analitica,100011944,2026-08-24T19:30:00+00:00,Malaga,Deportivo La Coruna,535,544
2026-08-19T1904Z,analitica,100011932,2026-08-19T19:00:00+00:00,Atletico Madrid,Malaga,530,535
2026-08-19T1904Z,analitica,100011933,2026-08-25T19:00:00+00:00,Valencia,Real Betis,532,543
2026-08-19T1904Z,analitica,100011937,2026-08-26T19:00:00+00:00,Real Madrid,Real Sociedad,541,548
2026-08-19T1904Z,analitica,100011935,2026-08-27T18:30:00+00:00,Celta Vigo,Osasuna,538,727
2026-08-19T1904Z,analitica,100011931,2026-08-27T19:00:00+00:00,Barcelona,Athletic Club,529,531
2026-08-19T1904Z,analitica,100011949,2026-08-20T19:00:00+00:00,Rayo Vallecano,Alaves,728,542
2026-08-19T1904Z,analitica,100011946,2026-08-21T19:00:00+00:00,Real Betis,Real Sociedad,543,548
2026-08-19T1904Z,analitica,100011942,2026-08-22T15:00:00+00:00,Athletic Club,Sevilla,531,536
2026-08-19T1904Z,analitica,100011943,2026-08-22T17:30:00+00:00,Valencia,Celta Vigo,532,538
2026-08-19T1904Z,analitica,100011945,2026-08-22T19:30:00+00:00,Espanyol,Real Madrid,540,541
